,Predict
0,-2.2584775439277847
1,-10.844217114974862
2,-2.1871900965675364
3,-2.9952808311027828
4,-6.426108427831582
5,-5.5058644705102635
6,0.7648924252022349
7,-4.858417233697456
8,-3.308373733460697
9,-5.090507978830027
10,2.6396657842252376
11,-4.32062577513464
12,0.7063840987727461
13,-1.3655684371457057
14,-2.9050475346273714
15,-1.524933380750275
16,-2.7196478365242247
17,-6.318953201209745
18,-5.275363665500169
19,-1.599940008861586
20,-4.029346472752036
21,-3.604570297943097
22,-3.9257977590801962
23,-1.4592743960462902
24,-0.06420596329068906
25,-3.5236859984911866
26,-1.7339701749711256
27,-7.732119621767526
28,0.6974529873991135
29,-1.373282259730911
30,-3.1450077222979287
31,-7.425594161195453
32,-0.420333826855552
33,-0.18540565414493293
34,-3.3859041617788854
35,-5.957502285782041
36,-0.42231938469014524
37,0.8627626579355688
38,-1.9570203736526772
39,-7.112543939812535
40,-1.4114535776120767
41,0.4823332068453137
42,-2.5872723558652053
43,-9.163518329525601
44,-2.574044638844848
45,-1.6681965879036316
46,-6.43363041520922
47,-4.791848280783899
48,-1.746195737737954
49,-6.249514966002473
50,-2.847880412737731
51,-7.107670065737416
52,-2.8824201212413945
53,-6.341773679246115
54,-4.954265372846763
55,-5.236891341838461
56,-2.791873592461713
57,-1.4086229131539818
58,-4.5588134219448495
59,-9.799550081107002
60,-2.5999621674203275
61,-3.9030380801402664
62,-1.8288988941510902
63,-2.0612139116210306
64,-4.707303381663663
65,-6.5560627315328475
66,1.920919111770728
67,-3.7593965494912327
68,-9.46609108240656
69,-0.41655685781411406
70,-7.749478742263999
71,-4.235363310179679
72,-0.8713134317228992
73,-2.1025288560081705
74,-5.69444113798137
75,-4.305177169100157
76,-10.337616431352853
77,-0.29246165821973724
78,-7.288180155389574
79,-5.127178408418876
80,-3.7449360737076454
81,-0.20226319837977885
82,-6.744458283378528
83,-1.9634743305617612
84,-5.476697565219472
85,-1.0137735645226589
86,-6.317387891945444
87,-4.153591525511919
88,-2.468508519934821
89,-9.827256799616597
90,-4.057977373302104
91,-4.179326180240411
92,-6.002046392852421
93,-1.3547952251569955
94,0.14006013982081256
95,-6.714676250862814
96,-2.2055488274695594
97,-1.1971687863805234
98,-3.374310410058771
99,-1.163489818888427
